File_Name,Museum,Species,Tribe,Common Name ,Specimen,Surface,Image,Lintulaakso 2023 (Diet) ,Column1,L&K 2016,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10,X11,Y11,X12,Y12,X13,Y13,X14,Y14,X15,Y15,X16,Y16,X17,Y17,X18,Y18,X19,Y19,X20,Y20,X21,Y21,X22,Y22,X23,Y23
B_hunteri_1938.7.11.1_lower_lingual_tooth row,London,Beatrigus hunteri,Alcelaphini,Hirola,1938.7.11.1,lingual lower,row,grazer,grazer,grazer,0,0,22.1554,6.1411,38.1018,22.0589,50.1339,36.0964,68.1554,52.1411,82.2196,68.1821,94.2518,86.2303,108.2893,102.2723,120.3214,120.3214,138.3697,134.3589,158.4232,140.375,182.1554,146.1411,204.5464,142.3803,224.6,136.3643,242.6482,126.3375,260.6964,112.3,276.7393,96.2571,292.7821,84.225,308.825,68.1821,325.1554,50.1411,340.9107,42.1125,360.9643,30.0803,381.0179,18.0482
B_javanicus_154385_lingual_lower_molars,Smithsonian,Bos javanicus,Bovini,Banteng,154385,lingual lower,molar,grazer-browser,grazer-browser,grazer,0,0,23.5751,20.0164,43.3404,39.7817,65.0822,61.5235,80.8943,83.2653,94.73,110.9366,106.5892,138.608,118.4484,166.2794,140.1901,188.0211,161.9319,199.8803,191.5798,209.7629,219.2512,215.6925,248.899,205.8099,268.6643,184.0681,284.4765,160.3498,304.2418,138.608,324.007,116.8662,345.7488,101.054,371.4437,83.2653,397.1385,71.4061,422.8333,57.5704,448.5282,41.7582,474.223,27.9225
B_sauveli_399379_lingual_lower_tooth row,Smithsonian,Bos sauveli,Bovini,Kouprey,399379,lingual lower,row,grazer,grazer,grazer,0,0,7.5508,18.5062,21,33,33.7839,48.4869,41.2891,65.351,56.2695,84.0889,71.2599,97.2055,89.9978,104.7007,106.8619,114.0697,123.7261,121.5649,142.4641,127.1862,163.0758,130.9338,181.8138,130.9338,202.4255,129.0601,217.4159,121.5649,234.28,106.5745,249.2704,91.5841,260.5131,78.4676,275.5035,61.6034,288.6201,48.4869,305.4843,40.9917,322.3484,31.6227,341.0863,20.3799
B_taxicolor_tibetana_258656_lingual_lower_tooth row,Smithsonian,Budorcas taxicolor tibetana,Obivoni,Tibetan takin,258656,lingual lower,row,browser,browser,browser,0,0,22,12,40,30,56,50,70,72,84,94,98,116,110,138,122,162,134,184,158,194,184,202,206,214,226,200,246,182,262,164,280,142,296,122,310,102,328,84,346,64,366,48,390,36
C_crispus_165683_lingual_lower_toothrow,AMNH,Capricornis crispus,Rupicaprini,Japanese serow,165683,lingual lower,row,browser-grazer,browser-grazer,mixed feeder,0,0,20,16,38,30,58,46,72,66,88,84,100,106,114,126,124,148,138,172,154,186,174,200,198,202,220,192,238,176,258,160,276,144,294,128,314,114,334,100,354,86,376,78,398,68
C_dorsalis_13282_lower_lingual_tooth row,Tervuren,Cephalophus dorsalis,Cephalophini,Bay duiker,13282,lingual lower,row,frugivore-browser,frugivore-browser,frugivore-grazer,0,0,19.6552,11.7931,35.3793,23.5862,49.1379,35.3793,60.9311,51.1034,72.7242,66.8275,88.4483,76.6552,104.1724,90.4138,119.8966,102.2068,135.6207,113.9999,155.2758,123.8275,172.9655,121.862,190.6552,113.9999,206.3793,100.2413,218.1725,86.4827,233.8966,68.7931,249.6207,58.9655,267.3103,49.1379,279.1035,33.4137,292.8621,21.6206,308.5862,9.8725,322.3448,-7.8621,334.138,-21.6207
C_dorsalis_1900_lower_lingual_tooth row,Tervuren,Cephalophus dorsalis,Cephalophini,Bay duiker,1900,lingual lower,row,frugivore-browser,frugivore-browser,frugivore-grazer,0,0,18.4764,6.3373,36.515,16.3586,50.545,30.3887,66.5792,40.41,82.6135,56.4443,96.6435,68.47,112.6777,80.4957,132.7206,88.5129,152.7634,86.5085,168.7977,80.4957,190.8447,76.4871,210.8876,76.4871,228.9261,76.4871,250.9732,76.4871,269.0118,70.4643,287.0503,58.4486,301.0803,44.4186,319.1188,32.3929,335.1531,22.3715,347.1788,6.3373,361.2088,-9.697,373.2345,-23.7269
C_goral_giseus_259398_lingual_lower_molars,Smithsonian,Naemorhedus griseus,Rupicaprini,Chinese goral,259398,lingual lower,molar,grazer,grazer,browser,0,0,16,12,32,28,46,44,60,58,74,76,86,94,96,110,108,130,118,148,132,164,154,168,174,162,192,152,210,144,228,132,244,116,260,102,276,88,294,78,312,66,328,54,338,36
C_goral_giseus_259399_lingual_lower_molars,Smithsonian,Naemorhedus griseus,Rupicaprini,Chinese goral,259399,lingual lower,molar,grazer,grazer,browser,0,0,18,10,34,22,50,34,64,48,76,64,90,78,102,94,114,110,128,124,138,142,154,152,174,150,192,144,210,136,226,124,242,112,258,100,274,90,292,84,312,78,330,68,348,60
C_leucogaster_1901_lower_lingual_tooth row,Tervuren,Cephalophus leucogaster,Cephalophini,White-bellied duiker,1901,lingual lower,row,grazer-browser,grazer-browser,frugivore-grazer,0,0,18,8,32,16,48,28,64,36,80,44,96,54,112,64,128,72,144,80,160,88,180,88,198,84,216,80,232,74,250,70,268,64,286,60,302,50,320,46,338,46,356,46,374,38
C_leucogaster_1903_lower_lingual_tooth row,Tervuren,Cephalophus leucogaster,Cephalophini,White-bellied duiker,1903,lingual lower,row,grazer-browser,grazer-browser,frugivore-grazer,0,0,22,18,38,32,54,50,72,68,90,86,108,102,128,116,148,128,168,142,190,156,214,162,238,158,260,150,282,134,302,120,320,106,340,90,360,76,384,70,408,66,428,52,444,32
C_leucogaster_1950.9.23.1_lower_lingual_tooth row,London,Cephalophus leukogaster ,Cephalophini,White-bellied duiker,1950.9.23.1,lingual lower,row,grazer-browser,grazer-browser,frugivore-grazer,0,0,10.3802,14.4835,26.4132,28.5124,36.4339,42.5413,50.4628,56.5703,62.4876,68.595,76.5165,82.624,90.5454,92.6447,108.5826,104.6694,122.6116,114.6901,138.6447,124.7108,156.6818,132.7273,174.719,138.7397,190.7521,136.7355,208.7892,124.7108,218.8099,110.6818,232.8389,98.657,248.8719,84.6281,264.905,76.6116,282.9421,66.5909,296.9711,58.5744,315.0082,52.562,333.0455,44.5455
C_leucogaster_551_lower_lingual_tooth row,Tervuren,Cephalophus leucogaster,Cephalophini,White-bellied duiker,551,lingual lower,row,grazer-browser,grazer-browser,frugivore-grazer,0,0,12.8518,17.2559,25.8897,37.7441,38.9277,54.5072,50.1031,73.1328,65.0036,89.8959,79.9041,106.659,92.942,121.5595,111.5677,130.8723,135.781,132.7349,156.2692,129.0098,178.62,121.5595,199.1082,114.1093,217.7338,108.5215,240.0846,99.2087,260.5728,88.0333,277.3359,78.7205,301.5493,73.1328,318.3123,61.9575,331.3503,47.0569,357.4261,41.4692,379.7769,39.6067,398.4026,30.2938
C_monticola_1936.10.28.28_lower_lingual_tooth row,London,Philantomba monticola,Cephalophini,Blue duiker,1936.10.28.28,lingual lower,row,browser-frugivore,frugivore,frugivore-herbivore,0,0,28.0792,12.0339,58.1641,28.0792,82.2319,42.1189,108.3055,60.1698,134.379,78.2207,160.4526,96.2716,188.5318,110.3112,218.6166,122.3452,246.6959,138.3904,272.7694,146.4131,302.8543,156.4413,332.9391,160.4526,365.0297,162.4583,379.0693,152.4301,401.1315,138.3904,419.1825,132.3734,447.2616,116.3281,475.3408,100.283,501.4144,84.2377,527.4879,72.2037,555.5671,58.1641,587.6577,46.1301
C_monticola_1936.10.28.29_lower_lingual_tooth row,London,Philantomba monticola,Cephalophini,Blue duiker,1936.10.28.29,lingual lower,row,browser-frugivore,frugivore,frugivore-herbivore,0,0,16,10,32.254,17.9984,48.3224,28.0411,62.3824,36.0754,82.4679,48.1267,98.5365,54.1525,114.6048,58.1696,132.6818,66.2037,150.7589,72.2294,168.8358,74.2379,182.8958,80.2637,192.9385,74.2379,204.9899,64.1952,217.0412,52.1438,229.0925,40.0925,245.1609,26.0326,257.2123,13.9813,271.2722,5.947,289.3482,-2.0872,305.4177,-10.1213,323.4946,-20.1642,335.546,-32.2155
C_monticola_1936.10.28.30_lower_lingual_tooth row,London,Philantomba monticola,Cephalophini,Blue duiker,1936.10.28.30,lingual lower,row,browser-frugivore,frugivore,frugivore-herbivore,0,0,18,8,32,22,46,38,58,54,70,70,84,86,98,104,112,118,128,130,146,140,166,142,186,134,202,120,218,106,234,94,250,82,268,72,284,60,302,48,320,40,340,34,360,32
C_monticola_34736_lower_lingual_tooth row,AMNH,Philantomba monticola,Cephalophini,Blue duiker,34736,lingual lower,row,browser-frugivore,frugivore,frugivore-herbivore,0,0,15.9051,19.8813,35.7865,23.8577,53.6797,37.7747,67.5967,55.6678,79.5255,75.5492,87.4781,93.4425,97.4187,113.3239,107.3594,135.1934,119.2882,151.0984,135.1934,167.0035,155.0747,176.9442,174.9561,172.968,190.8612,161.0391,202.79,145.134,218.6951,125.2527,232.6121,111.3357,246.5291,91.4543,258.4579,77.5374,274.363,59.6442,288.28,43.739,306.1732,29.822,322.0783,13.917
C_natalensis_825029_lingual_lower_molars,Stockholm,Cephalophus natalensis,Cephalophini,Red duiker,825029,lingual lower,molar,browser-omniovre,frugivore,frugivore-grazer,0,0,16,16,26,38,32,60,44,80,52,102,68,120,80,138,96,156,116,168,138,164,158,150,174,136,192,120,208,104,222,86,238,68,256,54,274,38,290,24,312,16,336,18,356,8
C_nigrifrons_52930_lower_lingual_tooth row,AMNH,Cephalophus nigrifrons,Cephalophini,Black-fronted duiker,52930,lingual lower,row,browser-frugivore,frugivore,frugivore-herbivore,0,0,18.0705,8.0314,30.1176,26.1018,48.188,40.1567,60.2351,56.2194,74.29,70.2743,94.3683,86.3369,114.4467,96.3761,134.5251,104.4075,156.6113,110.431,178.6974,114.4467,196.768,108.4232,218.8542,102.3997,238.9326,92.3605,257.0031,84.3291,277.0815,74.2899,297.1599,64.2507,315.2304,56.2194,335.3088,48.1881,355.3871,40.1567,375.4655,34.1332,395.5439,24.094,417.6301,16.0626
C_nigrifrons_52940_lower_lingual_tooth row,AMNH,Cephalophus nigrifrons,Cephalophini,Black-fronted duiker,52940,lingual lower,row,browser-frugivore,frugivore,frugivore-herbivore,0,0,18,6,36,10,54,14,72,22,92,26,110,32,128,36,148,40,166,44,186,44,206,50,224,56,242,62,262,64,280,64,296,60,318,56,336,50,354,44,368,36,386,30,406,22
C_nigrifrons_52943_lower_lingual_tooth row,AMNH,Cephalophus nigrifrons,Cephalophini,Black-fronted duiker,52943,lingual lower,row,browser-frugivore,frugivore,frugivore-herbivore,0,0,18,14,34,32,48,50,62,68,72,88,84,108,104,122,128,126,148,134,172,136,194,128,216,126,234,110,252,96,268,80,286,64,304,50,324,38,346,32,370,28,392,24,414,16
C_silvicultor_5332_lingual_lower_molars,Vienna,Cephalophus silvicultor,Cephalophini,Yellow-backed duiker,5332,lingual lower,molar,browser-frugivore,frugivore,frugivore-grazer,0,0,24,14,46,28,68,44,90,62,110,80,132,96,154,112,180,122,206,130,232,136,260,140,286,138,312,130,338,116,360,104,386,94,412,88,440,84,468,84,494,84,520,78,542,60
C_silvicultor_895_lower_lingual_tooth row,Tervuren,Cephalophus silvicultor,Cephalophini,Yellow-backed duiker,895,lingual lower,row,browser-frugivore,frugivore,frugivore-grazer,0,0,18,12,36,20,56,26,74,36,94,42,112,50,132,60,150,68,168,78,186,88,206,94,226,96,248,94,268,90,286,84,306,74,324,66,344,60,364,52,382,44,398,32,412,16
C_sumatraensis_milneedwardii_0259025_lingual_lower_molars,Smithsonian,Capricornis sumatraensis,Rupicaprini,Sumatran serow,259025,lingual lower,molar,grazer,grazer,grazer,0,0,28,18,54,38,76,62,96,88,118,114,138,140,160,166,182,190,206,212,228,236,236,244,262,238,292,224,320,206,342,184,364,158,386,132,406,108,424,78,438,50,450,18,468,-10
C_swinhoei_311229_lingual_lower_tooth row,Smithsonian,Capricornis swinhoei,Rupicaprini,Formosan serow,311229,lingual lower,row,grazer,grazer,grazer,0,0,24,14,44,36,64,58,82,80,96,106,112,130,128,156,142,180,160,204,178,228,200,246,230,248,256,236,280,220,306,204,328,186,352,168,378,156,406,148,436,154,462,168,490,168
C_taurinus_1935.12.14.3_lower_lingual_tooth row,London,Connochaetes taurinus,Alcelaphini,Blue wildebeest,1935.12.14.3,lingual lower,row,grazer,grazer,grazer,0,0,24,18,42,40,60,62,80,84,100,106,118,130,136,152,156,172,176,194,200,212,226,224,254,214,278,196,300,178,320,156,340,136,362,114,384,96,408,80,436,68,460,54,484,36
C_weynsi_4928_lower_lingual_tooth row,Tervuren,Cephalophus weynsi,Cephalophini,Weyns's duiker,4928,lingual lower,row,grazer,grazer,frugivore-herbivore,0,0,14,22,30,44,44,66,58,86,74,108,90,128,106,150,122,168,148,180,178,164,200,152,224,138,244,122,264,106,286,92,308,76,330,62,352,50,378,40,402,36,428,32,452,20
C_weynsi_5302_lower_lingual_tooth row,Tervuren,Cephalophus weynsi,Cephalophini,Weyns's duiker,5302,lingual lower,row,grazer,grazer,frugivore-herbivore,0,0,20,14,38,30,56,48,72,66,90,84,108,100,126,118,144,136,162,152,180,166,204,172,228,166,250,154,268,138,288,122,304,104,322,86,338,70,358,54,380,42,402,30,424,20
C_weynsi_5373_lower_lingual_molars,Tervuren,Cephalophus weynsi,Cephalophini,Weyns's duiker,5373,lingual lower,molar,grazer,grazer,frugivore-herbivore,0,0,16,20,30,44,44,66,56,88,68,112,82,134,98,156,114,176,134,192,160,200,186,196,210,184,232,170,254,154,276,140,298,126,322,116,348,108,374,106,400,110,426,116,452,114
D_dorcas_70.345_lower_lingual_M2 M3_other side,London,Gazella dorcas,Antilopini,Dorcas gazelle,70.345,lingual lower,molar,grazer,grazer,browser,0,0,28,6,52,20,74,34,96,52,116,70,138,86,162,100,186,112,212,124,236,136,262,144,290,140,312,126,334,108,354,90,374,72,394,54,416,34,436,18,458,0,480,-16,504,-30
D_hunteri_1692_lingual_lower_tooth row,Copenhagen,Beatrigus hunteri,Alcelaphini,Hirola,1692,lingual lower,row,grazer,grazer,grazer,0,0,14,26,34,44,50,64,66,86,82,106,100,126,118,144,136,162,158,178,182,188,208,190,234,184,256,170,274,150,292,130,310,112,326,92,344,72,362,52,380,34,402,18,422,2
G_dama_3206_lingual_lower_tooth row,Vienna,Nanger dama,Antilopini,Dama gazelle ,3206,lingual lower,row,browser,browser,mixed feeder,0,0,22,10,42,24,62,40,80,58,98,76,114,94,132,112,150,128,168,146,188,156,206,160,222,144,240,128,260,114,276,100,298,82,312,72,328,64,346,60,368,58,398,64,424,66
G_dama_3751_lingual_lower_molars,Vienna,Nanger dama,Antilopini,Dama gazelle ,3751,lingual lower,molar,browser,browser,mixed feeder,0,0,24,6,47.5966,15.5784,73.1893,21.4844,96.8133,31.3276,118.4687,39.2024,140.124,51.0144,163.748,64.795,185.4034,76.6071,209.0274,82.5131,234.6201,94.3251,254.3058,104.1685,279.8995,115.9805,301.5548,131.7297,321.2415,145.5104,344.8655,155.3538,370.4583,153.3851,394.0823,141.5731,413.7689,129.7611,437.3929,114.0117,459.0483,100.2311,482.6724,92.3564,506.2964,80.5444
G_dorcas_cata_lingual_lower_tooth row,Leiden,Gazella dorcas,Antilopini,Dorcas gazelle,catA,lingual lower,row,grazer,grazer,browser,0,0,11.1173,7.9409,25.411,12.7055,39.7047,17.47,52.4102,25.411,63.4102,31.7637,73.0567,39.7047,85.7622,47.6456,100.0559,55.5865,111.1732,60.3511,125.4669,65.1157,138.1724,71.4684,152.4661,74.6448,165.1716,73.0566,179.4653,69.8802,190.5826,60.3511,201.6999,50.822,212.8172,41.2928,222.3464,31.7637,233.4637,20.6464,244.581,12.7055,255.6983,4.7645,266.8156,-4.7646
G_granti_1936.3.28.10_lower_lingual_tooth row,London,Nanger granti ,Antilopini,Grant's gazelle,1936.3.28.10,lingual lower,row,browser-grazer,browser-grazer,mixed feeder,0,0,24,16,46,34,66,52,86,76,104,96,124,116,144,136,166,154,192,162,220,168,242,190,264,202,282,176,310,150,332,132,354,116,376,96,400,82,426,70,452,58,478,46,500,30
G_granti_1936.9.5.2_lower_lingual_tooth row,London,Nanger granti ,Antilopini,Grant's gazelle,1936.9.5.2,lingual lower,row,browser-grazer,browser-grazer,mixed feeder,0,0,23.6959,5.9279,45.6675,19.9098,65.6417,33.8917,85.616,49.8711,103.5928,61.8557,123.567,77.8351,143.5413,93.8145,167.5103,105.799,189.4819,115.7861,211.4536,123.7758,237.4201,135.7603,259.3917,143.75,281.3634,135.7603,307.3299,125.7732,327.3041,115.7861,351.2732,105.799,375.2422,95.8118,395.2165,85.8247,421.183,73.8402,441.1572,61.8557,463.1289,53.866,485.1005,37.8866
G_granti_1936.9.5.3_lower_lingual_tooth row,London,Nanger granti ,Antilopini,Grant's gazelle,1936.9.5.3,lingual lower,row,browser-grazer,browser-grazer,mixed feeder,0,0,19.6875,7.5536,41.5893,17.5089,59.5089,31.4464,73.4464,47.375,89.375,63.3036,107.2946,77.2411,119.2411,91.1786,139.1518,107.1072,157.0714,119.0536,178.9732,127.0179,196.8929,131,218.7946,121.0446,240.6964,107.1072,258.6161,101.1339,282.5089,93.1697,304.4107,89.1875,322.3304,79.2322,342.2411,73.2589,364.1429,65.2947,388.0357,61.3125,409.9375,59.3214,431.8392,57.3303
G_granti_2179_lower_lingual_tooth row,Tervuren,Gazella granti,Antilopini,Grant's gazelle,2179,lingual lower,row,browser-grazer,browser-grazer,mixed feeder,0,0,19.9707,5.9912,39.9414,15.9766,57.915,25.9619,73.8915,35.9473,93.8622,47.9296,111.8358,59.912,131.8065,69.8974,147.783,79.8828,163.7596,95.8593,181.7332,107.8417,199.7068,117.827,221.6745,119.8241,241.6452,115.83,263.6129,111.8358,281.5865,101.8505,299.5601,91.8651,317.5338,79.8828,339.5015,71.8945,357.4751,63.9062,377.4458,57.915,395.4194,45.9326,413.393,31.9531
G_subgutturosa_602090_lingual_tooth row,Stockholm,Gazella subgutturosa,Antilopini,Goitered gazelle,602090,lingual lower,row,grazer,grazer,mixed feeder,0,0,20,8,38,18,54,32,68,55,82,62,96,74,114,88,132,98,154,98,174,98,194,100,214,96,232,86,246,70,262,54,278,42,294,30,308,14,324,-2,340,-12,356,-24,376,-34
G_thomsoni_2138_lower_lingual_tooth row,Tervuren,Eudorcas thomsonii,Antilopini,Thomson's gazelle,2138,lingual lower,row,grazer,grazer,mixed feeder,0,0,18,6,38,14,54,30,70,46,86,60,100,76,112,92,124,112,138,128,160,128,180,120,198,106,216,94,232,82,250,70,268,58,288,46,306,34,324,24,344,18,366,14,388,14
G_thomsonii_nasalis_162005_lingual_lower_molars,Smithsonian,Eudorcas thomsonii,Antilopini,Thomson's gazelle,162005,lingual lower,molar,grazer,grazer,mixed feeder,0,0,20,6,40,12,56,24,74,38,90,50,106,62,124,74,142,84,160,94,178,104,198,112,218,114,238,108,256,96,274,86,290,74,310,66,328,56,346,44,362,36,382,26,402,20
G_thomsonii_nasalis_163048_lingual_lower_molars,Smithsonian,Eudorcas thomsonii,Antilopini,Thomson's gazelle,163048,lingual lower,molar,grazer,grazer,mixed feeder,0,0,16,8,34,10,46,24,58,38,74,48,88,58,102,70,114,82,132,82,150,70,168,68,184,66,202,62,220,58,236,48,252,40,264,26,276,16,290,2,306,-6,322,-16,336,-28
G_thomsonii_nasalis_163053_lingual_lower_tooth row,Smithsonian,Eudorcas thomsonii,Antilopini,Thomson's gazelle,163053,lingual lower,row,grazer,grazer,mixed feeder,0,0,16,10,36,16,56,24,70,38,82,54,92,74,104,90,118,106,134,118,152,130,172,136,192,130,210,122,230,114,248,104,266,94,282,82,300,72,320,64,338,56,356,48,374,34
G_thomsonii_nasalis_172903_lingual_lower_tooth row,Smithsonian,Eudorcas thomsonii,Antilopini,Thomson's gazelle,172903,lingual lower,row,grazer,grazer,mixed feeder,0,0,15.9189,7.9595,31.8379,13.9291,47.7568,21.8885,61.6859,29.848,75.615,39.7974,87.5542,51.7366,101.4833,61.6859,117.4022,71.6353,129.3415,81.5846,141.2807,93.5238,157.1996,99.4934,177.0983,99.4934,193.0172,93.5238,204.9565,85.5643,220.8754,75.615,238.7842,69.6454,252.7133,61.6859,266.6424,53.7264,282.5613,43.7771,296.4904,35.8176,310.4195,25.8683,324.3485,17.9088
H_equinus_68.35.1_lower_lingual_tooth row,Budapest,Hippotragus equinus,Hippotragini,Roan antelope,68.35.1,lingual lower,row,grazer-browser,grazer-browser,grazer,0,0,12,6,24,12,36,18,48,26,60,38,70,46,82,52,98,58,110,62,124,68,138,70,152,70,166,72,178,68,190,60,206,52,214,44,226,40,240,32,254,24,266,20,282,14
H_niger_1935.5.8.1_lower_lingual_molar row,London,Hippotragus niger,Hippotragini,Sable antelope,1935.5.8.1,lingual lower,molar,grazer,grazer,grazer,0,0,20,-2,40,6,52,24,66,42,78,58,86,80,96,100,108,118,120,134,138,146,158,156,180,160,202,160,220,144,236,134,254,120,270,106,284,90,298,74,318,58,338,50,348,32
H_niger_1964.7.8.1_lower_lingual_tooth row,London,Hippotragus niger,Hippotragini,Sable antelope,1964.7.8.1,lingual lower,row,grazer,grazer,grazer,0,0,14,12,28,26,40,40,54,56,66,70,76,86,88,102,102,116,120,124,138,130,158,134,178,132,196,126,212,116,226,104,240,90,254,76,268,62,282,50,296,34,310,22,326,12
K_defassa_53494_lower_lingual_tooth row,AMNH,Kobus e. defassa,K defassa,Defassa Waterbuck,53494,lingual lower,row,grazer,grazer,grazer,0,0,12.1569,20.8403,20.8403,45.1541,29.5238,65.9944,38.2073,92.0449,46.8907,114.6219,55.5742,137.1989,64.2577,161.5126,78.1512,184.0897,92.0448,204.93,111.1485,220.5602,135.4622,224.0336,158.0392,211.8768,175.4062,196.2465,194.5098,177.1429,210.14,158.0392,227.507,137.1989,243.1372,116.3586,258.7675,98.9916,274.3977,78.1513,296.9748,69.4678,323.0252,76.4146,342.1288,62.5211
K_defassa_53515_lower_lingual_tooth row,AMNH,Kobus e. defassa,K defassa,Defassa Waterbuck,53515,lingual lower,row,grazer,grazer,grazer,0,0,14,10,28,22,42,36,54,48,68,62,80,76,92,86,106,98,122,108,138,118,154,126,172,130,190,126,208,118,224,110,240,102,256,92,270,82,286,70,300,60,314,48,330,38
